"","TweetId","Text"
"39",1362914760082264064,"@Amateur_Pro_TV I don't know, you tell me. 

And yes it is, wind is 25% of the Texas grid, half of them went down because they froze. 

Texas experienced the same problem during a freak blizzard, that Cali does every summer."
"40",1362914760082264064,"@Amateur_Pro_TV I don't know, you tell me. 

And yes it is, wind is 25% of the Texas grid, half of them went down because they froze. 

Texas experienced the same problem during a freak blizzard, that Cali does every summer."
"41",1362914760082264064,"@Amateur_Pro_TV I don't know, you tell me. 

And yes it is, wind is 25% of the Texas grid, half of them went down because they froze. 

Texas experienced the same problem during a freak blizzard, that Cali does every summer."
"42",1362914760082264064,"@Amateur_Pro_TV I don't know, you tell me. 

And yes it is, wind is 25% of the Texas grid, half of them went down because they froze. 

Texas experienced the same problem during a freak blizzard, that Cali does every summer."
"43",1362914756584112128,"@wfaalauren You are right!  Being a Syracuse NY native ... I fled this stuff to be in the warm DFW area, however, the weather this week makes me appreciate the 105 degree July/August days."
"44",1362914756584112128,"@wfaalauren You are right!  Being a Syracuse NY native ... I fled this stuff to be in the warm DFW area, however, the weather this week makes me appreciate the 105 degree July/August days."
"45",1362914754491125760,"LIVE: KVUE News at 6 | Bringing you the latest on the statewide energy crisis as the ice melts across Texas #austin #austinenergy #austinwater #texas #austinweather | https://t.co/E8wizWvazH https://t.co/ikrRVsc8uw"
"46",1362914752616427520,"@oahnait @WSJ And you know where they lived &amp; I currently live! In Wisconsin where the weather can be -45 below F. Advice from where? What country are you in? I’ve been through MANY polar vortex, several feet of snow winters my whole life. I’ve driven to work. I’ve walked to school."
"47",1362914751534272512,"@thehill She is abolutely correct, the Constitution has a measured amount of fluidity, but when you turn it to water it will slip through our hands and evaporate.
       Ron V  disabled vietnam vet"
"48",1362914751320371200,"@RambouilletAssn We're talking basic services. Heat and water.  Plenty of warning. I believe El Paso did take appropriate preemptive steps and did not have the crisis."
"49",1362914748535238656,"Day 5 Texas freeze https://t.co/J2RLgHA8K4"
"50",1362914748443086848,"Vote Texas!
""w/o an ounce of irony/self-awareness of what its own panel had to say in Jan.,TPPF pounced on the blackouts this week as a chance to bash renewables.""
The Texas Think Tank Giving Cover for This Week’s Republican Wind Power Lies https://t.co/QeuUK6rRFD via @EARTH3R"
"51",1362914748443086848,"Vote Texas!
""w/o an ounce of irony/self-awareness of what its own panel had to say in Jan.,TPPF pounced on the blackouts this week as a chance to bash renewables.""
The Texas Think Tank Giving Cover for This Week’s Republican Wind Power Lies https://t.co/QeuUK6rRFD via @EARTH3R"
"52",1362914744227667968,"@leahhongdraws Hi Leah!
I’m Marianne Blackstone Tabner and also my first SCBWI winter conference! Exciting! Are you  a published author ? How’s the weather in Vancouver?"
"53",1362914743510564864,"@Terca_Lumireis water! 

HEALTHY snacks!"
"54",1362914740738158592,"A volunteer fire department ran out of water during a fire. A man searched 8 hours for food. These are the stories of the Texas storm

https://t.co/79ihAE17kb"
"55",1362914739538571264,"@toomanycowz Ummm we also need to eat so Farmers do tend to be somewhat important too. As to the waterways, there is no way we're going to sustain population growth without an increased water supply. Not the way we are lowering the Ogallala Aquifer, going to need to come up with something."
"56",1362914738276081664,"I'd bet the State of Texas moves to weatherize our power grid.

The real question is who pays for it. 

Should Texas? Should the for-profit companies?

Who should absolutely NOT pay for it: low income Texans. 

They already paid for it this week. #txlege

https://t.co/7T2LJ1un5t"
"57",1362914737328173056,"@ScottTheWoz Looks at snow, laughs in new york"
"58",1362914735595741184,"@folha Tanta bomba pra nada. Vai ter que substituir o whey por Power Horse."
"59",1362914735595741184,"@folha Tanta bomba pra nada. Vai ter que substituir o whey por Power Horse."
"60",1362914730478768128,"@lawlerb @FPSPredatorsHA @zervle @ndrew_lawrence Also, I’d like to point out that I never said solar energy was the sole source of power...simply that this station had one of the biggest solar setups in Antarctica."
"61",1362914728394317824,"Truck series night in America! Wet weather start as well! I’m hyped!"
"62",1362914724212400128,"@Gayer_Than_Thou I thought they previously determined that there had been (or is) water on Mars. But, don’t quote me.🤷‍♀️"
"63",1362914724212400128,"@Gayer_Than_Thou I thought they previously determined that there had been (or is) water on Mars. But, don’t quote me.🤷‍♀️"
"64",1362914717224812544,"They're from the government and they are here to help.  LOL 
Vaccine sites in NJ, Pa. coping with winter weather, delayed shipments https://t.co/pcVkNnmgcW via @6abc"
"65",1362914717224812544,"They're from the government and they are here to help.  LOL 
Vaccine sites in NJ, Pa. coping with winter weather, delayed shipments https://t.co/pcVkNnmgcW via @6abc"
"66",1362914709322792960,"Snowflake 2022...he’s got the snow balls  to stand up for Texas https://t.co/MrFKdcYQ4T"
"67",1362914708253204480,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces."
"68",1362914708253204480,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces."
"69",1362914708253204480,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces."
"70",1362914708253204480,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces."
"71",1362914708253204480,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces."
"72",1362914702989422592,"This Texas weather doing no justice"
"73",1362914700581830656,"Just a reminder but it's still Fuck Blizzard for the shit they pulled with that one player supporting Hong Kong btw."
"74",1362914691647823872,"@cenkuygur @joerogan Cali has water and power shortages and endless forest fires. Plus  crime crumbling infrastructure and high taxes."
"75",1362914683481559040,"Cardona's story is amazing- he not only led efforts to bring back the Yellow-eared Parrots from near- extinction, but also helped save the Quindio wax palm. Shameful how deadly environmental work can be in Colombia, but more power to those brave enough to do the work. https://t.co/6F6nx0Oi16"
"76",1362914682093277184,"@TahoeWeather Rain, rain rain here in South Lake, heavy at times – with a bit of sleet mixed in for good measure. Come on, cold front!"
"77",1362914676519051264,"Fucked this rain ... 😔😔😔"
"78",1362914673557966848,"Asks us to wait patiently while they work on OW2, showing us nothing, and then not balancing OW1 in a meaningful way (listen to your top players Blizzard) in favor of working on OW2. Also, no new content that changes up the game because they're saving it for OW2. #Overwatch"
"79",1362914673557966848,"Asks us to wait patiently while they work on OW2, showing us nothing, and then not balancing OW1 in a meaningful way (listen to your top players Blizzard) in favor of working on OW2. Also, no new content that changes up the game because they're saving it for OW2. #Overwatch"
"80",1362914672635113472,"still thinking about how they landed a rover on Mars while we were brushing our teeth with bottled water. the poems just write themselves these days, you hate to see it"
"81",1362914672580689920,"Democracy Now! is 25 today!

It's the greatest news show on air today in America, and I am proud to be a Democracy Now! $25 monthly supporter.

Support the Voice of the Voiceless, @democracynow 

Democracy Now! speaks truth to power; it's the War and Peace Report."
"82",1362914668591738880,"The power of Cinlok, selalu bilang ""dia cuma temen kok"". Ahhh smw berawal dari temen hyung wkwkwk 🤣"
"83",1362914668591738880,"The power of Cinlok, selalu bilang ""dia cuma temen kok"". Ahhh smw berawal dari temen hyung wkwkwk 🤣"
"84",1362914668554059776,"@thatexaspapi Still no water in Houston.#abnormal"
"85",1362914668138950656,"so the rabbit hutch in the yard is currently buried under several feet of snow, so the rabbit is right now inside with us. he's figured out that thumping is foot on the ground makes us pick him up, so that's now basically all he does all day"
"86",1.362914662745e+18,"""The accusation that Mr. Prince violated the U.N.’s arms embargo on #Libya exposes him to possible U.N. sanctions, including a travel ban and a freeze on his bank accounts and other assets — though such an outcome is uncertain.""

https://t.co/U57myT4hKi"
"87",1362914658609336320,"@AdamCrigler @tedcruz I live in Texas, I don't like Ted Cruz, but if I had the money I would have bolted, too. I'm more angry that he didn't just own it. ""Yeah I left, fuck off."" That would have earned him some respect. But instead just more sniveling excuses that hold less water than a busted pipe."
"88",1362914656990363648,"Terence Corcoran:  Texas crisis will reshape energy policy-making everywhere as wind-power collapse puts renewables under scrutiny

https://t.co/qtA7CNxToP"
"89",1362914651693015040,"@jadefalcon68 @JimHendren1 @elyse4design @GOP When people storm the United States Capital that is by definition an insurrection. Size really doesn't matter. At best you can call it Barbarians at the Gate."
"90",1362914647343575040,"Man Reportedly Freezes To Death In Recliner as Winter Storm Ravages Texas https://t.co/ayUqgJ48v9"
"91",1362914646353735680,"@FOX4 I’ll put it briefly, I was in Romania and Moldova Xmas of ‘16 thru NYE ‘17 with temperatures lower for longer than this past week and people had power, buses were running, malls open, hell outdoor marker was still open.  Basically, satellite countries of communist bloc 1/2"
"92",1362914646353735680,"@FOX4 I’ll put it briefly, I was in Romania and Moldova Xmas of ‘16 thru NYE ‘17 with temperatures lower for longer than this past week and people had power, buses were running, malls open, hell outdoor marker was still open.  Basically, satellite countries of communist bloc 1/2"
"93",1362914644650827776,"#bristol #weather 19/2/2021, Temp Hi=12.3C/Lo=5.1C, Baro Hi=1007.0 mb/Lo=1000.6 mb, Max Gust=32mph, Rain=0.6mm, Sun Hrs=00:00"
"94",1362914642524213248,"October 2020 #Melbourne #Australia 
POWER OUTAGE for 4 days
Messages on phones to boil all water.

February 2021 #TEXAS #USA 
POWER OUTAGE for 4 days
Messages on phones to boil all water.

And you say I'm a Conspiracy Theorist.
As you were...."
"95",1362914642524213248,"October 2020 #Melbourne #Australia 
POWER OUTAGE for 4 days
Messages on phones to boil all water.

February 2021 #TEXAS #USA 
POWER OUTAGE for 4 days
Messages on phones to boil all water.

And you say I'm a Conspiracy Theorist.
As you were...."
"96",1362914641567883264,"Texas storm: Biden to declare major disaster to secure federal aid – live | US news https://t.co/9FNZpB1Nsq"
"97",1362914641328959488,"I am old enough to remember when the US Postal Service said we deliver rain, sleet, or snow. I am in Texas and haven’t seen them in 3 days!"
"98",1362914640242626560,"I don’t remember snow hitting Texas under trump this is because of Biden"
"99",1362914639500115968,"Thanks Melbourne for that 2 minutes of rain just to amp the humidity up from 100% to 4885959%"
"100",1362914638506164224,"Weather update for Canvey Island,
Temperature: 11°C
clear sky https://t.co/CkzBpdnG4T"
"101",1362914638187417600,"“As Texas deep freeze subsides, some households now face electricity bills as high as $10,000” 

Keeps getting worse. My heart goes out to Texas  https://t.co/zrXiC8O8JN"
"102",1362914638187417600,"“As Texas deep freeze subsides, some households now face electricity bills as high as $10,000” 

Keeps getting worse. My heart goes out to Texas  https://t.co/zrXiC8O8JN"
"103",1362914634533990400,"Also known as: “One Night in Cancun: How I became a laughing stock in one dumb move during a deadly winter storm in the midst of a global pandemic.” https://t.co/Za4f6OzP3k"
"104",1362914631648337920,"this fine weather make us forget the fact that the capital city tokyo is still under the state of emergency which is caused by the covid related matter."
"105",1362914629257682944,"The cold paints Kylo's cheeks a vivid red as if in protest of the weather, which make the few freckles that Kylo does have, stand out brilliantly. The light reflects off the snow into Kylo's chocolate gaze, that mimic the color of his hair, and Hux is lost."
"106",1362914628636966912,"@froneyzone @faramiria @shelleyrj123 @cherylinct @julieroginsky Exactly! Thank you for proving our point, Obama traveling to Hawaii on a normal day is a way different situation than Cruz abandoning his citizens during an ice storm"
"107",1362914628104196096,"Texas Musicians on How They’re Making It Through the Deep Freeze https://t.co/TKHNIlWKyl https://t.co/gByc5D1a8C"
"108",1362914626934079488,"Thinking about soft winter Kylux.... Hux noticing how dark the snow flakes make Kylo's hair look. The strands look black in juxtaposition to the white flakes that are landing on Kylo's head, but Hux knows it's a deep chocolate brown, not black."
"109",1362914625533132800,"The power companies are corrupt in Texas.  They’re also corrupt in Ohio.  If we ever have a Texas style heatwave in Cleveland, we’ll be in trouble."
"110",1362914625533132800,"The power companies are corrupt in Texas.  They’re also corrupt in Ohio.  If we ever have a Texas style heatwave in Cleveland, we’ll be in trouble."
"111",1362914625533132800,"The power companies are corrupt in Texas.  They’re also corrupt in Ohio.  If we ever have a Texas style heatwave in Cleveland, we’ll be in trouble."
"112",1362914625533132800,"The power companies are corrupt in Texas.  They’re also corrupt in Ohio.  If we ever have a Texas style heatwave in Cleveland, we’ll be in trouble."
"113",1362914625415761920,"when i move out if ny it's not because of the expenses, the state itself or the people, it's because of the goddamn snow (and winter in itself)! can it stop?! i hate snow as it but why tf is it snowing so much? like fuck off! you're ugly and annoying!"
"114",1362914625004527616,"17:59 Bedford, TX Wx - Fine weather, Temp: 39.7 F, DP: 26.9, RH: 60%, Wind: N 0 mph, Baro: 30.359 in Falling, Rain: 0.22 in. Spotter activation is not expected at this time."
"115",1362914625004527616,"17:59 Bedford, TX Wx - Fine weather, Temp: 39.7 F, DP: 26.9, RH: 60%, Wind: N 0 mph, Baro: 30.359 in Falling, Rain: 0.22 in. Spotter activation is not expected at this time."
"116",1362914623817719808,"11:59 PM temp 9.7c,max 10.7c,min 7.4c,Dewpoint 6.6c,Avg wind speed 9.8kmh,SW,max gust 79.6 kmh,Rain since midnight 18.6mm,Rain this month so far 65.2 mm-Please frequently wash hands &amp; social distance to help stop Covid19"
"117",1362914622051913728,"Friday February 19, 2021 Weather Time Lapse - Franklin, NY in the Western Catskills. #nywx #weather #Catskills #NY #timelapse https://t.co/jY6AiCjmtE"
"118",1362914622051913728,"Friday February 19, 2021 Weather Time Lapse - Franklin, NY in the Western Catskills. #nywx #weather #Catskills #NY #timelapse https://t.co/jY6AiCjmtE"
"119",1362914621368238080,"Eastbourne Weather 23:59 PM Temp 11.1oC Max 11.1oC Min 5.9oC Hum 83% Wind 10.2 mph S Gust 23.0 mph Rain   0.0 mm Baro 1009.3 hPa AQI (13.5) Air Quality Good PM2.5 (3.3) PM10 (24.7)"
