,Datetime,TweetId,Text
0,2021-02-19 23:59:59+00:00,1362914863937421315,@storm_ofmylife Vou me dropar
1,2021-02-19 23:59:59+00:00,1362914863886917635,"@DonnaDiva Nothing a couple xans, a few bottles of chardonnay, and a tweet storm tantrum can't fix"
2,2021-02-19 23:59:59+00:00,1362914863404765185,"Conditions at 00:00 Gentle Breeze, Dry/Clear Temperature: 9.7°C Wind chill 8.4°C Relative humidity: 91%Baro. 989.6hPa Steady Average wind: 9.3km/h SSW, Gust: 20.8 km/h Rain today  0.000mm Solar: 0 W/m² UV 0.0"
3,2021-02-19 23:59:59+00:00,1362914863396253698,"99% of the comments - BTS

anyways, I recommend listening to Crystal Snow by BTS https://t.co/ekW5jDyzsX"
4,2021-02-19 23:59:59+00:00,1362914861940805632,面白かったしめっちゃきびしかったけどきっとじゅんちゃん相手だともっと優しく教えてるんだろうなぁと思うとIIやにやしちゃう。
5,2021-02-19 23:59:59+00:00,1362914861706059779,@mermaid_daisy Fill a bowl with soap and water and it will be far easier.
6,2021-02-19 23:59:59+00:00,1362914861336952833,"Had a TON of fun with this hunt, thank you to everyone that joined us through this rollercoaster of a hunt 💜

Marked Shiny Beldum Hunt
-In the Hail
-No weather manipulators
-No Heal Pulse
-NO MASTERBALL

Hope y'all enjoy the recap of this crazy hunt 😁

▶https://t.co/oEnk0TJqr9 https://t.co/Q99fvKvlRN"
7,2021-02-19 23:59:59+00:00,1362914860795846656,"@sexy_robotnik @beans_n_bops @nice_learning @BobooTobian @yagigote @IBeetman @velma__fan @Christie_Malry @a_bonarlaw @velma_fan @phuketamine @EGattignolo @Starscape14 @JBonniego @make_it_snow @achtung_maybe @TheClickPit @FalklandsWars @Jimmy_z_loser @BillEllson @TerryNPirates @Jockamo13 @GillAmbrose2 @hidIive @IDroveABMW @WillowVane @ProudRepubUSA1 @jarheadbinks @Skrrt__Vonnegut @ChrisTweetsLLC @forpush @TheSuperTagCrew @scrueggs @brandocalriss11 @Genki_Slime @pazsalamshaanti @posting @Patriotgamer45 @ANorhawitz @the_antrik @Jacobkeeler5 @tedcruz @irishgal53 @DropDeadFred_10 @solidarity1986 @JimDavisPhilly Fuck the old folks? Oh fo sho. 

But won't somebody please tHinK aBoUt ThA cHiLdReN!

https://t.co/nAg71izjie"
8,2021-02-19 23:59:59+00:00,1362914860347117573,"Sonic Bacon Cheesburger Toaster w/ fries and a sweet tea EZ Ice. Pro tip, you get way more drink if you tell them EZ Ice. @emily_black17 @LittleDicky__ https://t.co/O62RmsPHh3"
9,2021-02-19 23:59:58+00:00,1362914859533402114,"@MarkHertling It was more than “Ill considered “! People dying daily no power, no water and politicians sitting on their butts. There is NO excuse or attempt to justify his actions by lying! He should have stayed and used his “power” and influence to get as much side to Texans as possible."
10,2021-02-19 23:59:58+00:00,1362914858774200325,"@tedcruz There will be another freeze up at some point and be ready with this: generate emergency elec with a car with a wheel removed and a generator head: https://t.co/YNnlsmxrWD Obviously, advanced preparation needed."
11,2021-02-19 23:59:58+00:00,1362914857691926529,"@GregAbbott_TX God job, we had no winter issues in previous years with ice and snow and now we do. Something is not right. Thant you for pursuing this outrage."
12,2021-02-19 23:59:58+00:00,1362914857151057921,"@PsychoRequiem Since we had snow all classes have been online and instead of lecturing online they decided to just give us work so I hurried up and did that💀 I still need to study for an exam but I'll do that later 😭
ATTENTION SPAN?! THE ANIME IS SO GOOD LIKE OMGGG"
13,2021-02-19 23:59:58+00:00,1362914856660328448,With all this snow there’s a white person jogging somewhere in the city rn
14,2021-02-19 23:59:57+00:00,1362914855578083329,@MSw_snow 비와서 더추운것같기도!!
15,2021-02-19 23:59:57+00:00,1362914855519473665,@shawnsstream Ice cream sundae #VoteShawnMendes #KCA
16,2021-02-19 23:59:57+00:00,1362914855427203075,@TepiZep @AprilDRyan I have a poodle. Dog absolutely loves the snow.
17,2021-02-19 23:59:57+00:00,1362914855091638276,"@Miralha_ -blizzard
-hypar

escolha um"
18,2021-02-19 23:59:57+00:00,1362914853871058945,Example twitter weather data  02:00 -0.8 91 pct 0.0 N
19,2021-02-19 23:59:57+00:00,1362914852130353156,"@shimmeryshadows What does it matter what the weather is like.
You're going to eat it inside aren't you?"
20,2021-02-19 23:59:56+00:00,1362914851299995669,@MrPaulGroom Let your body get used to it and it’ll be falling off you! Just remember that calories still count and drink a lot of water!
21,2021-02-19 23:59:56+00:00,1362914850834317312,@snow_0130 冷凍したら味落ちるかもです！笑笑
22,2021-02-19 23:59:56+00:00,1362914850519715840,LOVEジャンキー、3:42からのソロパートに言葉に出来ないくらい最高な4人の魅力がどんどんどーんって来るから欲を言えばフルでどうぞ
23,2021-02-19 23:59:56+00:00,1362914849274134528,@storm_ofmylife vou me lembrar  https://t.co/63OIZVDXkO
24,2021-02-19 23:59:56+00:00,1362914849219485696,"@marimoazelyn あ、はい。同一人物ですf(´ω｀;)
せっかく楽しんでプレイしてるところに茶々いれるのは配信者さんに失礼かなー上から目線で偉そうかなーと思いつつも突っ込んでしまい💦　無事クリアできてよかったです！

これからものんびり、あせらず楽しんでプレイしてみてください☺️"
25,2021-02-19 23:59:56+00:00,1362914848997330945,i am going to play OW2 for the weather
26,2021-02-19 23:59:56+00:00,1362914848724705281,"#freethemall
“Dying of cold”: ICE detainees freezing in southern prisons https://t.co/8HUXzm6rxw by @AlleenBrown"
27,2021-02-19 23:59:56+00:00,1362914848506580998,@taliasucksss @tedcruz There was nothing anyone could do. Everything off. If power off in the whole city then the power off in the governor office too. That's why I'm saying it doesn't make sense. If anything blame biden for not providing aid
